date,region,infected,recovered,dead
2020-04-21,Московская область,5959,179,49
2020-04-22,Московская область,6590,186,56
2020-04-23,Московская область,7278,186,56
2020-04-24,Московская область,7889,235,66
2020-04-25,Московская область,8494,262,69
2020-04-26,Московская область,9070,272,71
2020-04-27,Московская область,9708,286,71
2020-04-28,Московская область,10231,311,74
2020-04-29,Московская область,10917,389,90
2020-04-30,Московская область,11710,430,93
2020-05-01,Московская область,12507,458,109
2020-05-02,Московская область,13314,503,109
2020-05-03,Московская область,14136,507,111
2020-05-04,Московская область,14939,526,111
2020-05-05,Московская область,15761,576,127
2020-05-06,Московская область,16590,611,141
2020-05-07,Московская область,17432,769,156
2020-05-08,Московская область,18350,813,175
2020-05-09,Московская область,19425,1030,186
2020-05-10,Московская область,20558,1236,195
2020-05-11,Московская область,21637,1389,209
2020-05-12,Московская область,22700,1582,219
2020-05-13,Московская область,23662,1745,226
2020-05-14,Московская область,24580,1987,240
2020-05-15,Московская область,25525,2468,253
2020-05-16,Московская область,26462,2724,262
2020-05-17,Московская область,27369,3088,268
2020-05-18,Московская область,28290,3361,268
2020-05-19,Московская область,29188,3614,271
2020-05-20,Московская область,30091,3897,285
2020-05-21,Московская область,30983,4281,299
2020-04-21,Санкт-Петербург,1973,280,11
2020-04-22,Санкт-Петербург,2267,327,14
2020-04-23,Санкт-Петербург,2458,368,17
2020-04-24,Санкт-Петербург,2711,411,20
2020-04-25,Санкт-Петербург,2926,460,23
2020-04-26,Санкт-Петербург,3077,489,27
2020-04-27,Санкт-Петербург,3238,489,27
2020-04-28,Санкт-Петербург,3436,544,27
2020-04-29,Санкт-Петербург,3726,708,29
2020-04-30,Санкт-Петербург,4062,779,29
2020-05-01,Санкт-Петербург,4411,779,33
2020-05-02,Санкт-Петербург,4734,877,33
2020-05-03,Санкт-Петербург,5029,1061,34
2020-05-04,Санкт-Петербург,5346,1197,37
2020-05-05,Санкт-Петербург,5572,1468,37
2020-05-06,Санкт-Петербург,5884,1532,40
2020-05-07,Санкт-Петербург,6190,1552,44
2020-05-08,Санкт-Петербург,6565,1597,48
2020-05-09,Санкт-Петербург,6990,1662,53
2020-05-10,Санкт-Петербург,7404,1674,53
2020-05-11,Санкт-Петербург,7711,1681,56
2020-05-12,Санкт-Петербург,8050,1784,58
2020-05-13,Санкт-Петербург,8485,1848,63
2020-05-14,Санкт-Петербург,8945,1899,69
2020-05-15,Санкт-Петербург,9486,2005,74
2020-05-16,Санкт-Петербург,10011,2109,80
2020-05-17,Санкт-Петербург,10462,2175,85
2020-05-18,Санкт-Петербург,10887,2209,90
2020-05-19,Санкт-Петербург,11340,2272,95
2020-05-20,Санкт-Петербург,11795,2480,99
2020-05-21,Санкт-Петербург,12203,2661,104
2020-04-21,Москва,29433,2057,233
2020-04-22,Москва,31981,2267,261
2020-04-23,Москва,33940,2448,288
2020-04-24,Москва,36897,2735,325
2020-04-25,Москва,39509,3047,366
2020-04-26,Москва,42480,3175,404
2020-04-27,Москва,45351,3524,435
2020-04-28,Москва,48426,4130,479
2020-04-29,Москва,50646,4610,546
2020-04-30,Москва,53739,5135,611
2020-05-01,Москва,57300,5766,658
2020-05-02,Москва,62658,6374,695
2020-05-03,Москва,68606,7029,729
2020-05-04,Москва,74401,7573,764
